Tf,Beta,Intercept,n_points,r2,Condition,Gf,n_particles,mean_area,geomean_area,mean_equivalent_diameter_area,geomean_equivalent_diameter_area,mean_longest_length,geomean_longest_length,mean_perimeter,geomean_perimeter,mean_aspect_ratio,geomean_aspect_ratio,mean_eccentricity,geomean_eccentricity,Df
5,2.375652902611879,2.9989268101566946,10,0.7578219211046018,20,20.0,1435,0.02153303135888502,0.000903034384052699,0.06791284461765608,0.03390839258990991,0.10602973530972966,0.05315914288605052,0.5472484958124034,0.06418849577467083,0.5104275923223045,0.4712464902554209,0.8547509967576725,0.8444307967364364,1.9989354098103262
10,1.7991350410592488,2.958570328682722,11,0.658152749240444,20,20.0,805,0.03296807453416149,0.001011222848896504,0.08451964822345374,0.03588215322071375,0.13289638335647422,0.05795477725052438,0.8202326113019164,0.06445489039189689,0.49925150603559165,0.4583465151503535,0.8548884131588365,0.8422148753404269,1.9990342982997926
15,1.6831377722466965,2.772265727144369,7,0.5046184499108548,20,20.0,371,0.03549811320754717,0.0015146092291292565,0.103973661576098,0.04391423875405574,0.16097640228148,0.07081374990387428,0.8111176225619559,0.09234000869520419,0.5066321585121193,0.4657053606546673,0.8511876960218573,0.8400693566909322,1.9990454521393142
20,2.2766670907402915,2.6794827455820878,9,0.7512632876770846,20,20.0,536,0.0331205223880597,0.0011039341215875228,0.08872181484365864,0.037490966623810976,0.14026854043448214,0.06072056420079273,0.8032338902233753,0.07363000760497909,0.4991507273637162,0.4612250866112452,0.8549957103815258,0.8435937034654883,1.9990715012822182
25,1.9902218326630012,2.4791952781306583,9,0.7389306141768495,20,20.0,373,0.043167292225201076,0.001388232760500026,0.1082259415747811,0.042042274533682034,0.1620609570367354,0.06664885941163813,0.9022936646978525,0.08480625047325333,0.5163021387919285,0.4788181823323596,0.8562255329573629,0.8467961914505407,1.9990968266844267
5,2.3918042141191784,3.050870297948549,8,0.8317889537849388,40,40.0,623,0.03997255216693419,0.003361754026678111,0.13852097530444885,0.06542414054796013,0.20435421373180424,0.10021415221019303,0.8661753078974835,0.176099735906573,0.5439193854190413,0.5086886703934934,0.8253360666832547,0.8127561671644523,1.9990845485049937
10,3.1155392951081913,2.3872072010657934,8,0.8213939374383546,40,40.0,948,0.021609388185654006,0.0029048805686859988,0.10713334853458838,0.06081618873937906,0.15970763921480138,0.09193517322763303,0.6269794113292699,0.17177746694792992,0.5592481898934444,0.5248927612226817,0.810372291388343,0.7958701145452162,1.9990241870089127
15,3.0327853990752067,2.750548046470147,7,0.77167216976933,40,40.0,1175,0.020861021276595747,0.002673519272219185,0.10422637291296538,0.058344069630092144,0.15530186579558536,0.08751908163194907,0.6311383376838108,0.16103562446562913,0.5665783358755098,0.5343716138226328,0.8101870558538793,0.7950310514049977,1.9990066911539601
20,3.3771921125652815,2.3264000192256487,6,0.9696512639131838,40,40.0,966,0.014607349896480333,0.0028591038340769165,0.09499913369178607,0.0603350981108894,0.13878604471660694,0.0889909632086753,0.49203127554808873,0.17365500251963326,0.5830104303589712,0.5518187847773532,0.794300115273306,0.7766432013923091,1.9989549804640556
25,3.921657514480857,1.786929422623452,6,0.8890711962692878,40,40.0,1160,0.014395258620689657,0.003045930487875698,0.09644085434612451,0.06227518886103681,0.14126089285915172,0.09236237086112667,0.48960804348848297,0.18230773541038608,0.573979933918446,0.5421410647992316,0.7993485150131502,0.7839362137675853,1.9989548848737106
5,3.5078407398019276,2.807500262519181,7,0.9045281189430283,60,60.0,1847,0.018999621007038444,0.0030552338726838224,0.10636862239415824,0.06237022194216881,0.15866685706480194,0.09437877680230256,0.6172528602165628,0.17958557112124565,0.5589387847572609,0.5253581325787234,0.810777485434168,0.7954276910204225,1.9989614283101638
10,3.9991388158116843,2.299317575811566,7,0.8768099125486569,60,60.0,2229,0.01596846119336025,0.0029273961330466055,0.09905473532990824,0.0610514252061304,0.15073674582358604,0.09311626532636483,0.5651058501737852,0.18047825702688866,0.5596284872858045,0.5271137731028175,0.8104389662778088,0.7961205217466037,1.9989609339058094
15,4.376133713138783,1.665908530704801,6,0.8824505808572406,60,60.0,2052,0.012332699805068226,0.002737260690135931,0.09071554779245143,0.05903548555682532,0.13708449172789783,0.08962518804367463,0.4810002825663921,0.16981207241668783,0.5643734953332079,0.5319078567139884,0.8083475712383809,0.7943023636832656,1.9988737307060698
20,5.208137801171754,0.7114340019304874,6,0.8588540322544003,60,60.0,2614,0.010430680948737567,0.0024458105206332037,0.08364544117916169,0.0558041456685746,0.12669141091933647,0.08492221618339989,0.4290617704353058,0.15589612726947455,0.5600886600045635,0.5262805130751712,0.8107707719929281,0.7960659011059765,1.998849760895099
